Code;Libellé;STOCK À TRANSFÉRER SUR GLE;3LETTRES;Nouvelle Référence GLE;Serialisation;GAMME;CATEGORIE;COLLECTION;NATURE;FAMILLE;N° DE SÉRIE;Prix vente HT;Prix achat HT;Emplacement stock;Nom fournisseur;Code barre;
88503;Cbl/2M Computer Power EXT cordC13 to C14;2;CAB-;CAB-88503;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	8,35  € ; 	-      ;J3;;757120885030;
COAX-2M;Cable Coaxial 2m M/M;2;CAB-;CAB-COAX-2M;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	8,33  € ; 	-      ;B1;;COAX-2M;
DE88683;Câble antenne N M > N F 6m LMR195 low loss;2;GEN-;GEN-DE88683;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	29,90  € ; 	29,90  € ;J3;EDOX;4043619886838;
B000ZS9XEQ;Bulk CABLE-140HS Câble USB 2.0 A-A;2;CAB-;CAB-B000ZS9XEQ;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	5,00  € ; 	5,00  € ;I1;AMAZON;X0004L1E6R;
F4U092BTSGY;Belkin USB-C Multimedia Hub - station d'accueil - HDMI;1;BEL-;BEL-F4U092BTSGY;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;BELKIN;0;0;; 	99,99  € ; 	99,99  € ;C3;TECH DATA FRANCE;745883708673;
A3L791B10M-GRY;Belkin cordon de raccordement - 10 m - gris;2;BEL-;BEL-A3L791B10M-GRY;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;BELKIN;0;0;; 	-      ; 	-      ;I3;;722868188392;
ANTRAD9;Antenne radio 9dbi;2;ANT-;ANT-ANTRAD9;NUFARTSTKSERIE;MATERIEL;RESEAU;ANTRAD;WIFI;0;; 	600,00  € ; 	1 500,00  € ;A2;;ANTRAD9;
B010USB/RJ45;adaptateur USB 3/RJ45;2;CAB-;CAB-B010USB/RJ45;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	13,00  € ; 	13,00  € ;J4;AMAZON;X000MKT827;
B00OXCFIXU;5 Aukru® 5V 2A EU Plug Chargeur Adaptateur Pour Routeur D-Link DIR-600, DGS-105, DIR-635 ,DIR-615,DIR-100 DIR-300 ,DIR-624 DIR-645 DIR-652 ,DIR-655 DIR ;2;AUK-;AUK-B00OXCFIXU;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;AUKRU;0;0;; 	10,57  € ; 	10,57  € ;I1;AMAZON;X000EAZ51N;
EAN11693;4 Embouts De Finition Pour 15x30 Mm;2;GEN-;GEN-EAN11693;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	-      ; 	-      ;K3;;4018475250345;
ATB-C253;Waste Toner Box, kompatibel, FOR USE IN;1;KON-;KON-ATB-C253;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;KONICA;ACCESSOIRES;0;; 	30,00  € ; 	-      ;AMAZON;THS;4049816001579;
ATB-C35;Waste Toner Box, kompatibel;1;GEN-;GEN-ATB-C35;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	16,20  € ; 	55,00  € ;AMAZON;THS;4049816022055;
SLR40WI;VP Interactif SMART LightRaise 40wi;1;SMA-;SMA-SLR40WI;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;SMARTBOARD;0;0;; 	1 499,00  € ; 	-      ;C0;;1016957;
8388100;Vogel's Tilt module S/M;1;VOG-;VOG-8388100;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;VOGELS;0;0;; 	16,67  € ; 	-      ;A4;;8388100;
VA2210-MH;"ViewSonic 21.5"" LED - VA2210-MH 1920 x 1080 pixels - 5 ms - Format large 16/9 - Dalle IPS - HDMI - Noir";1;VIE-;VIE-VA2210-MH;NUFARTSTKSERIE;MATERIEL;ECRANS;VIEWSONIC;0;0;VFZ20156117; 	74,96  € ; 	74,96  € ;D5;LDLC PRO;;
11673;UGREEN VGA VGA Câble VGA SVGA Mâle vers Mâle 1080P Plaqué Or avec Noyau de Ferrite pour Écran, Moniteur, Projecteur, PC, TV HD, Noir (1 M);1;CAB-;CAB-11673;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	-      ; 	-      ;J3;AMAZON;X000AU9LXP;
US-8-150W;UBIQUITI UNIFI SWITCH 8 150W (US-8-150W) Switch Gigabit 8 ports 10/100/1000 Mbps PoE+ et 2 ports SFP;1;UBI-;UBI-US-8-150W;NUFARTSTKSERIE;MATERIEL;RESEAU;UBIQUITI;SWITCH;0;B4FBE4E1BEE7; 	191,63  € ; 	150,00  € ;D2;LDLC PRO;810354024467;
TS8GAP1333S;Transcend - DDR3 - 8 Go - SO DIMM 204 broches - 1333 MHz / PC3-10600;1;TRA-;TRA-TS8GAP1333S;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;TRANSCEND;0;0;; 	87,97  € ; 	87,97  € ;C3;TECH DATA FRANCE;760557822332;
TL-WA850RE;TP-LINK N300 WiFi Range Extender;1;;;;;;;;;; 	27,51  € ; 	-      ;C2;;790069383410;
MTBC35B ;Toner, original, cyan, Konica-Minolta Box, 4.500 prints;1;KON-;KON-MTBC35B ;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;KONICA;ENCRES TONERS;0;; 	28,20  € ; 	48,00  € ;AMAZON;THS;A0X5452;
A0X5151;Toner original, blue pour 4700 series;1;DEV-;DEV-A0X5151;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;DEVELOP;ENCRES TONERS;0;; 	76,80  € ; 	-      ;C4;;A0X5151;
9004447;TONER NOIR MONOBLOC 2200P B2500/20/40;1;OKI-;OKI-9004447;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;OKI;ENCRES TONERS;0;; 	99,00  € ; 	-      ;AB2;;252690825;
DR6000;TAMBOUR BROTHER HL 1240/1250/1270N;1;BRO-;BRO-DR6000;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;BROTHER;ENCRES TONERS;0;; 	136,00  € ; 	-      ;C4;;DR6000;
SLAT4640201002;Système d'alimentation SLAT-batterie-Chargeur-Redresseur;1;GEN-;GEN-SLAT4640201002;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	3 000,00  € ; 	-      ;E1;ACTN;SLAT4640201002;
RKS1314;Synology RKS1314 - Kit de rails pour rack;1;SYN-;SYN-RKS1314;NUFARTSTKSTD;MATERIEL;RESEAU;SYNOLOGY;ACCESSOIRES;0;; 	60,00  € ; 	-      ;L2;;RKS1314;
SG220-50P-K9-EU;Switch Smart Plus Gigabit 48 ports PoE + 2 ports combo SFP;1;CIS-;CIS-SG220-50P-K9-EU;NUFARTSTKSERIE;MATERIEL;RESEAU;CISCO;SWITCH;0;; 	641,63  € ; 	641,63  € ;D2;LDLC PRO;810354024771;
BX-2504B;"Suza Advance BX-2504B - Boitier externe - 2.5"" - ATA -";1;ADV-;ADV-BX-2504B;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;ADVANCE;0;0;; 	-      ; 	-      ;E2;;3700104402133;
002.2460 ;Support pour projecteur L4, SILVER GREY 9010, 59 - 93 cm, with universal bracket;1;GEN-;GEN-002.2460 ;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	-      ; 	-      ;A2;;002.2460;
HSG1-O-W16555;Support pour Caméra - étanche;1;GEN-;GEN-HSG1-O-W16555;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;VIDEO;0;; 	90,00  € ; 	-      ;E3;;HSG1-O-W16555;
TM-TELE;Support plafond pour projecteur;1;GEN-;GEN-TM-TELE;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	79,00  € ; 	48,00  € ;K1;TECH DATA FRANCE;2418655000005;
SAB754;Support mural pour caméra;1;MES-;MES-SAB754;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;MESSOA;VIDEO;0;; 	90,00  € ; 	-      ;E3;;SAB754;
5J.J3A10.001;Support mural Benq;1;BEN-;BEN-5J.J3A10.001;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;BENQ;0;0;; 	145,00  € ; 	145,00  € ;A0;INTELWARE;4718755030598;
B07BY65;Support mobile pour écran 65 pouces (charge maxi 60kg);1;GEN-;GEN-B07BY65;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	390,00  € ; 	390,00  € ;STOCK;AMAZON;RV200§180521§0002§12;
MXTHQ10M;StarTech.com Câble d'extension vidéo pour écran VGA haute résolution - HD15 M/F - rallonge de câble VGA - 10 m;1;STA-;STA-MXTHQ10M;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;STARTECH;0;0;; 	33,99  € ; 	39,00  € ;J4;TECH DATA FRANCE;65030847582;
20-01165-20;Smart Document Camera SDC-330;1;SMA-;SMA-20-01165-20;NUFARTSTKSERIE;MATERIEL;PERIPHERIQUES;SMART TECHNOLOGIE;CAMERA;0;E01B020570; 	950,00  € ; 	-      ;C0;;20-01165-20;
84H321710-022;Slide Rail, 26”, EZ-Mount;1;GEN-;GEN-84H321710-022;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	-      ; 	-      ;L2;;84H321710-022;
SBB-D32CX2EN;Set Back Box 32 Go Samsung SBB-D32CX2 Dual Core;1;SAM-;SAM-SBB-D32CX2EN;NUFARTSTKSERIE;MATERIEL;PERIPHERIQUES;SAMSUNG;VIDEO;0;ZZ5EHTSF100034; 	700,00  € ; 	-      ;C4;;SBB-D32CX2EN;
SECUPADDOCK;SecuPaddock - cadenas a clé (noir) (99066KD-BLK);1;SEC-;SEC-SECUPADDOCK;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;SECUPLUS;0;0;; 	56,25  € ; 	56,25  € ;B1;SECUPLUS;SECUPADDOCK;
Q3841A;SCANNER HP SCANJET 2400;1;HEW-;HEW-Q3841A;NUFARTSTKSERIE;MATERIEL;PERIPHERIQUES;HEWLETT PACKARD;SCANNERS;0;CN75ESR11Q; 	-      ; 	-      ;ÉTAGERE BLANCHE;;Q3841A;
B11B193012;Scanner Epson V30;1;EPS-;EPS-B11B193012;NUFARTSTKSERIE;MATERIEL;PERIPHERIQUES;EPSON;SCANNERS;0;KRW070731; 	50,00  € ; 	-      ;C0;;B11B193012;
SM-G973FZWDXEF;Samsung Galaxy S10 - blanc prisme - 4G - 128 Go - TD-SCDMA / UMTS / GSM - smartphone;1;SAM-;SAM-SM-G973FZWDXEF;NUFARTSTKSERIE;MATERIEL;SMARTPHONE;SAMSUNG;0;0;; 	832,50  € ; 	832,50  € ;BOUTIQUE LDLC;TECH DATA FRANCE;;
929593;Ricoh SP 220NW - imprimante - monochrome - laser Aficio / (A4, 23 ppm imprimante, réseau, GDI, Wi-Fi);1;RIC-;RIC-929593;NUFARTSTKSERIE;MATERIEL;IMPRIMANTES;RICOH;LASER;0;Y756MC00968; 	98,00  € ; 	109,00  € ;ÉTAGERE BLANCHE;TECH DATA FRANCE;4961311913419;
EX6130-100FRS;Répéteur Universel Wifi AC1200 Dual Band EX6130;1;NET-;NET-EX6130-100FRS;NUFARTSTKSTD;MATERIEL;RESEAU;NETGEAR;ACCESSOIRES;0;; 	79,00  € ; 	69,52  € ;D3;TECH DATA FRANCE;606449114331;
UST-LAMP;Promethean - Lampe de projecteur pour Promethean UST-P1, UST-P2;1;;;;;;;;;; 	222,25  € ; 	118,15  € ;;TECH DATA FRANCE;;
99646;PRISE RJ45 CAT6 FTP 2 MODULES;1;GEN-;GEN-99646;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	-      ; 	-      ;K3;;3245060996468;
POTVP;Potence pour vidéoprojecteur;1;;;;;;;;;; 	55,00  € ; 	-      ;A4;;POTVP;
2050572;Plastron 45x45 HD15 F vers câble HD15 M - AWG28 - 5 m;1;GEN-;GEN-2050572;NUFARTSTKSTD;MATERIEL;RESEAU;GENERIQUE;ACCESSOIRES;0;; 	23,45  € ; 	23,00  € ;L5;TECH DATA FRANCE;3662247121688;
2061418;Plastron 45x45 Audio Jack 3,5mm F/F - AWG28 - 0,20m;1;GEN-;GEN-2061418;NUFARTSTKSTD;MATERIEL;RESEAU;GENERIQUE;ACCESSOIRES;0;; 	9,00  € ; 	9,00  € ;A3;NEKLAN;3662247180937;
CL12UTHWB;Pied pour tablette verrouillable aluminium de haute qualité blanc montable en surface;1;GEN-;GEN-CL12UTHWB;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	95,00  € ; 	95,00  € ;B2;INGRAM MICRO;856282004812;
KX-A242X;Panasonic KX-A242X kit de support Hardware/Electronic;1;;;;;;;;;; 	-      ; 	-      ;;;5025232268542;
CT2KIT102464BF16;Pack RAM de 8GBX2 DDR3L 1600 MT/s (PC3L-12800) SODIMM 204-Pin;1;CRU-;CRU-CT2KIT102464BF16;NUFARTSTKSTD;MATERIEL;COMPOSANTS;CRUCIAL;MEMOIRES;0;; 	129,00  € ; 	122,55  € ;D4;AMAZON;649528754592;
L30250-F600-C150;OpenStage 20 - IP (HFA);1;SIE-;SIE-L30250-F600-C150;NUFARTSTKSERIE;MATERIEL;TELEPHONE;SIEMENS;0;0;IT19321597; 	180,00  € ; 	180,00  € ;K1;ITANCIA;L30250-F600-C150;
981-000100;OEM/PC Stereo Headset 960 USB Casque ( semi-ouvert ) ;1;LOG-;LOG-981-000100;NUFARTSTKSTD;MATERIEL;SON;LOGITECH;CASQUES;0;; 	20,86  € ; 	22,00  € ;B3;INGRAM MICRO;5099206008441;
BOXNUC8I3BEK2;NUC Intel Core i3-8109U Intel HD Graphics 655 Wi-Fi AC / Bluetooth 5.0 + emplacement M.2;1;NUC-;NUC-BOXNUC8I3BEK2;NUFARTSTKSERIE;MATERIEL;UC WINDOWS;NUC;0;0;G6BE946013C8; 	270,00  € ; 	261,20  € ;C2;LDLC PRO;;
NGC1553;NGC NGC1553 Module 45 x 45 2 prises;1;NGC-;NGC-NGC1553;NUFARTSTKSTD;MATERIEL;RESEAU;NGC;ACCESSOIRES;0;; 	-      ; 	-      ;K2;;NGC1553;
PLASMA-W065BLACK;NewStar PLASMA-W065BLACK - montage mural;1;NEW-;NEW-PLASMA-W065BLACK;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;NEWSTAR;0;0;; 	49,95  € ; 	60,00  € ;A4;TECH DATA FRANCE;8717371443627;
NM-W360BLACK;NewStar NeoMounts NM-W360BLACK - montage mural;1;NEW-;NEW-NM-W360BLACK;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;NEWSTAR;0;0;; 	37,46  € ; 	40,00  € ;A4;TECH DATA FRANCE;8717371444655;
FPMA-D935D;NewStar FPMA-D935D - Kit de montage ( fixation par pince pour bureau, 2 bras art;1;NEW-;NEW-FPMA-D935D;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;NEWSTAR;0;0;; 	159,95  € ; 	-      ;A3;;;
FPMA-W812;NEWSTAR FLATSCREEN WALL MOUNT;1;NEW-;NEW-FPMA-W812;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;NEWSTAR;0;0;; 	-      ; 	-      ;A4;;8717371443948;
NETWORK-MS;Network Card-MS CARTE SNMP/WEB;1;EAT-;EAT-NETWORK-MS;NUFARTSTKSTD;MATERIEL;RESEAU;EATON;ACCESSOIRES;0;; 	376,22  € ; 	263,35  € ;D4;TECH DATA FRANCE;743172038111;
NA-U70;NETASQ NA-U70 ;1;NET-;NET-NA-U70;NUFARTSTKSERIE;MATERIEL;RESEAU;NETASQ;FIREWALL;0;; 	-      ; 	-      ;C2;;U70XXA4M1156110;
CVGP34000BK10;NEDIS CÂBLE HDMI HAUTE VITESSE AVEC ETHERNET NOIR (1 MÈTRE) Câble HDMI 4K haute vitesse avec Ethernet Noir - 1 mètre ;1;NED-;NED-CVGP34000BK10;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;NEDIS;0;0;; 	5,75  € ; 	8,00  € ;I1;LDLC PRO;5412810264513;
MP-VGA2HQ;Multiplicateur d'écran 2x VGA;1;GEN-;GEN-MP-VGA2HQ;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	35,00  € ; 	-      ;E2;;MP-VGA2HQ;
EXP40;Module d'extension LCD EXP40 pour T46;1;YEA-;YEA-EXP40;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;YEALINK;0;0;; 	86,00  € ; 	89,10  € ;;EDOX;;
ZY-VMG1312-B10A;Modem routeur VDSL2& ADSL2 Wifi N;1;ZYX-;ZYX-ZY-VMG1312-B10A;NUFARTSTKSERIE;MATERIEL;RESEAU;ZYXEL;ROUTEUR;0;; 	98,60  € ; 	98,60  € ;D3;EDOX;4718937566341;
ML303130;MOBILITY LAB-HUB PURE COLOR - WHITE .;1;MOB-;MOB-ML303130;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;MOBILITY LAB;0;0;; 	16,67  € ; 	-      ;B4;;3700527303130;
163/ATV/BAS/2;Mobilis Mobilities Antitheft Corporate - Câble de verrouillage - 1.8 m;1;MOB-;MOB-163/ATV/BAS/2;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;MOBILIS;0;0;; 	12,46  € ; 	6,24  € ;B1;;;
T5D-02840;Microsoft Office Home and Business 2016 Ensemble de boîtes 1 PC 32/64-bit, sans support, P2 Win français zone euro;1;MIC-;MIC-T5D-02840;NUFARTSTKSTD;LOGICIELS;LOGICIELS;MICROSOFT;BUREAUTIQUE;0;; 	232,50  € ; 	209,25  € ;C3;TECH DATA FRANCE;889842090598;
DP-MMG-050MB;MicroConnect Mini DP - Displayport 0.5m M-M 1.2v Black, gold plugs;1;CAB-;CAB-DP-MMG-050MB;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;MICRO CONNECT;0;0;; 	12,36  € ; 	9,89  € ;I2;EET EUROPARTS;5712505702031;
MLA22F/A;Magic Keyboard - Français;1;APP-;APP-MLA22F/A;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;APPLE;0;0;; 	99,17  € ; 	99,17  € ;B4;TECH DATA FRANCE;888462650533;
910-005718;Logitech Pebble M350 Graphite Souris sans fil - ambidextre - capteur optique 1000 dpi - 3 boutons;1;LOG-;LOG-910-005718;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;LOGITECH;0;0;; 	21,63  € ; 	-      ;;TECH DATA FRANCE;;
LEX80C2HCE;LEXMARK Ton HC cyan Cor 802HCE;1;LEX-;LEX-LEX80C2HCE;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;LEXMARK;ENCRES TONERS;0;; 	104,96  € ; 	66,67  € ;AMAZON;OCTANT;734646497176;
70C0D40;Lexmark 700D4 - Jaune - original - kit de développement LCCP - pour Lexmark CS31;1;LEX-;LEX-70C0D40;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;LEXMARK;ENCRES TONERS;0;; 	38,55  € ; 	-      ;BUREAU COMPTA;;734646436489;
CDEXTERNE1;Lecteur CD DVD Graveur Externe, USB 3.0 Ultra Slim Portable Graveur de CD-RW DVD-RW pour Notebook / Desktops Windows 2003/Vista/XP/7/8.1/10/Linux /Mac OS ;1;GEN-;GEN-CDEXTERNE1;NUFARTSTKSERIE;MATERIEL;PERIPHERIQUES;GENERIQUE;GRAVEURS;0;; 	29,00  € ; 	29,00  € ;D3;AMAZON;X000QTI5VT;
LDLC SSD F7 PLUS 3D NAND 240GB;"LDLC SSD F7 PLUS 3D NAND 240 GB SSD 240 Go NAND 3D TLC 2.5"" 7mm Serial ATA 6Gb/s";1;LDL-;LDL-LDLC SSD F7 PLUS 3D NAND 240GB;NUFARTSTKSERIE;MATERIEL;COMPOSANTS;LDLC;DD INTERNE;0;; 	35,79  € ; 	50,00  € ;C2;LDLC PRO;;
CLDJ02/2;LCD TV WALL MOUNT;1;CAB-;CAB-CLDJ02/2;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	56,00  € ; 	-      ;D4;;785014010909;
LMP-600;Lampe Sony LMP 600 - UHP - 120 Watt - pour VPL S600E, S900E, SC5;1;SON-;SON-LMP-600;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;SONY;VIDEO;0;; 	974,60  € ; 	-      ;C0;;416616;
A06V453;KONICA-MINOLTAMAGICOLOR5550-;1;KON-;KON-A06V453;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;KONICA;ENCRES TONERS;0;; 	179,00  € ; 	-      ;AMAZON;;39281044571;
A0TM350;Konica minolta toner original tn613M;1;KON-;KON-A0TM350;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;KONICA;ENCRES TONERS;0;; 	104,16  € ; 	-      ;C3;;AM3503Y21C;
A0TM450;Konica minolta toner original TN613C;1;KON-;KON-A0TM450;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;KONICA;ENCRES TONERS;0;; 	104,16  € ; 	-      ;C3;;AC4503713C;
PAD-R042;kit émetteur S4 infrarouge + écran;1;GEN-;GEN-PAD-R042;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	595,00  € ; 	400,00  € ;E2;AVECO SAS;PAD-R042;
40X7623;Kit de fusion Lexmark C2130;1;LEX-;LEX-40X7623;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;LEXMARK;ACCESSOIRES;0;; 	-      ; 	-      ;BUREAU COMPTA;;40X7623;
S07XXX00/M;Jarretière fibre optique 12 ports;1;GEN-;GEN-S07XXX00/M;NUFARTSTKSTD;MATERIEL;RESEAU;GENERIQUE;ACCESSOIRES;0;; 	200,00  € ; 	-      ;L2;;S07XXX00-;
B006Z5AH3Y;Integral 360 Secure 4 GB USB 2.0 Flash Drive with 256-Bit Encryption Software;1;INT-;INT-B006Z5AH3Y;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;INTEGRAL;0;0;; 	-      ; 	-      ;AMAZON;;;
PSE481B;INJECTEUR POWER OVER ETHERNET 48W;1;GEN-;GEN-PSE481B;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	-      ; 	-      ;C2;;PSE481B;
CB774B;IMPRIMANTE HP Deskjet D5560;1;HEW-;HEW-CB774B;NUFARTSTKSERIE;MATERIEL;IMPRIMANTES;HEWLETT PACKARD;JET D'ENCRE;0;CN03MDD0X0; 	85,00  € ; 	-      ;C2;;884962006597;
865408-B21;HPE 500W FS Plat Ht Plg LH Pwr Sply Kit ;1;HEW-;HEW-865408-B21;NUFARTSTKSERIE;MATERIEL;ECRANS;HEWLETT PACKARD;0;0;7C89410Y68; 	270,00  € ; 	270,00  € ;C1;ALSO;;
XW887AT#ABF;HP Thin Client t5335z;1;HEW-;HEW-XW887AT#ABF;NUFARTSTKSERIE;MATERIEL;UC WINDOWS;HEWLETT PACKARD;0;0;CN32390065; 	300,00  € ; 	-      ;B2;;886111677139;
2SR85AA#ABB;HP Spectre USB-C Travel Dock Station d'accueil USB-C VGA, HDMI 10Mb LAN;1;HEW-;HEW-2SR85AA#ABB;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;HEWLETT PACKARD;0;0;; 	113,29  € ; 	113,29  € ;B3;LDLC PRO;;
454146-B21;HP Midline - Disque dur - 1 To - échangeable à chaud - 3.5*;1;HEW-;HEW-454146-B21;NUFARTSTKSERIE;MATERIEL;COMPOSANTS;HEWLETT PACKARD;DD INTERNE;0;WCAW32450095; 	-      ; 	-      ;L1;;883585297337;
G9F04AT#ABF;HP Flexible Thin Client t520 - tour - 1 x GX-212JC 1.2 GHz - RAM 4 Go;1;HEW-;HEW-G9F04AT#ABF;NUFARTSTKSERIE;MATERIEL;UC WINDOWS;HEWLETT PACKARD;0;0;CZC6117Y30; 	426,00  € ; 	428,00  € ;B2;TECH DATA FRANCE;888793090497;
J9651A;HP Dual radio 602 11 ;1;;;;;;;;;; 	-      ; 	-      ;D4;;885631739969;
675843-B21;HP - Kit de mise en oeuvre - 4U - pour ProLiant ML310e Gen8, ML310e Gen8 Base, M;1;HEW-;HEW-675843-B21;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;HEWLETT PACKARD;0;0;; 	145,00  € ; 	-      ;L2;;675843-B21;
AH-HM-LIC;HiveManager Classic Perpetual license for one (1) Aerohive Device (AP, Router or Switch). Can only be used with HiveManager NMS Virtual Appliance or High Capacity HiveManager (1U) NMS Appliance.     ;1;AER-;AER-AH-HM-LIC;NUFARTSTKSTD;LOGICIELS;LOGICIELS;AEROHIVE;RESEAU;0;; 	275,00  € ; 	-      ;D2;;AH-HM-VA   ;
B00H1SUYEQ;HDMI Splitter 4 fach 1x4 1080p auch für 3D 1:4 Verteiler Full HD 1 input 4 output;1;CAB-;CAB-B00H1SUYEQ;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	21,99  € ; 	350,00  € ;K4;AMAZON;B00H1SUYEQ;
51824;HDMI CABLE WITH ETHERNET (10 M);1;CAB-;CAB-51824;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	24,96  € ; 	-      ;;LDLC PRO;4040849518249;
B000MGTVQ6;GN Netcom GN 2000 Mono Omni Micro-casque filaire ;1;JAB-;JAB-B000MGTVQ6;NUFARTSTKSTD;MATERIEL;SON;JABRA;CASQUES;0;; 	91,34  € ; 	-      ;L1;AMAZON;5706991003086;
ENAMUL-R3;ESET NOD32 Antivirus multiposte TPE PME - Renouvellement 3 ans;1;ESE-;ESE-ENAMUL-R3;NUFARTSTKSTD;LOGICIELS;LOGICIELS;ESET;ANTI VIRUS;0;; 	70,00  € ; 	60,00  € ;;ATHENA GLOBAL SERVICES;;
JD-0700FR-2;Ensemble clavier/souris sans fil DW 3000;1;CHE-;CHE-JD-0700FR-2;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;CHERRY;0;0;; 	24,99  € ; 	24,99  € ;B5;ALSO;4025112081385;
SCHNSYSFP300;ENS. FIX POTEAU -PLM43;1;SCH-;SCH-SCHNSYSFP300;NUFARTSTKSTD;MATERIEL;RESEAU;SCHNEIDER;ACCESSOIRES;0;; 	159,00  € ; 	160,00  € ;C4;REXEL;3606480192500;
DS-9516NI;Enregistreur IP;1;;;;;;;;;; 	2 890,00  € ; 	-      ;H4;;DS-9516NI;
TRE06B1180240;Ecran Mobile Trépied STYLE 180 x 240cm, Format 4:3 Blanc MAT;1;;;;;;;;;; 	375,00  € ; 	-      ;I0;;;
SNP-3120VHP;E9K - SAMSUNG SNP-3120VHP PTZ DOME CCTV CAMERA H.264 600TVL IP POE NETWORK CAT5;1;SAM-;SAM-SNP-3120VHP;NUFARTSTKSERIE;MATERIEL;PERIPHERIQUES;SAMSUNG;VIDEO;0;C5G66V2ZA01057D; 	1 325,00  € ; 	-      ;E2;;SNP-3120VHP;
B00SWVF3L0;Duronic TVB777 Support de montage mural universel inclinable pour télévision de 33 à 60 pouces / 81 à 153 cm - VESA 600x400;1;DUR-;DUR-B00SWVF3L0;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;DURONIC;0;0;; 	15,00  € ; 	96,03  € ;A4;AMAZON;5060184205832;
A0WG0EJ;Drum Unit, original, magenta, in Konica Minolta Box, 20.000 prints;1;KON-;KON-A0WG0EJ;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;KONICA;ACCESSOIRES;0;; 	160,00  € ; 	165,00  € ;AMAZON;THS;39281053597;
