OPEID;OpeDomNuf;OpePnaNuf;OpeStkNuf;OpePcxCode;OpeDate;ArtCode;ArtLib;DepCode;OpeQteUS;OpeNumSerie;OpePA;CliCode;CliLib
4439;Achats;Bon de réception;En stock;BR-160142;26/07/2016;APP-3A650F/A;Ipod Touch 16Gb Demo Blue;DCOM;1;SCCQQV1NRGGK4;157,98;;
545;Stocks;Entrée en stock;En stock;IN-150172;31/12/2015;APP-3A653F/A;Ipod Touch 16Gb Demo Pink;DCOM;1;SCCQPT3RXGGK2;153,76;;
30957;Achats;Bon de réception;En stock;BR-190250;12/07/2019;APP-3C211F/A;iPhone 7 32GB Black (Demo);DCOM;1;358686098532116;333,08;;
7404;Achats;Bon de réception;En stock;BR-160253;10/11/2016;APP-3C318F/A;Apple Watch 1, 38mm Rose Gold Aluminium Case with Pink Sand Sport Band (Demo - T;DCOM;1;SFHLS8182HF1C;130;;
15714;Achats;Bon de réception;En stock;BR-170208;28/07/2017;APP-3C325F/A;Apple Watch 2, 38mm Silver Aluminium Case with White Sport Band (Demo - Try On);DCOM;1;SFHLV23Z5HDX5;180;;
7405;Achats;Bon de réception;En stock;BR-160253;10/11/2016;APP-3C335F/A;Apple Watch 2, 42mm Gold Aluminium Case with Cocoa Sport Band (Demo - Try On);DCOM;1;SFH7S72QEHDY0;195;;
7406;Achats;Bon de réception;En stock;BR-160253;10/11/2016;APP-3C339F/A;Apple Watch Nike+, 38mm Silver Aluminium Case with Flat Silver/White Nike Sport ;DCOM;1;SFH7S7168HF1L;180;;
7012;Achats;Bon de réception;En stock;BR-160243;07/11/2016;APP-3C354F/A;Apple Watch 2, 38mm Stainless Steel Case with White Sport Band (Demo - Try On);DCOM;1;SFH7SK1UJHDXD;0;;
8171;Achats;Bon de réception;En stock;BR-160282;25/11/2016;APP-3C360F/A;Apple Watch 2, 42mm Stainless Steel Case with White Sport Band (Demo - Try On);DCOM;1;SFH7SK1KFHDY3;0;;
7407;Achats;Bon de réception;En stock;BR-160253;10/11/2016;APP-3C565F/A;Apple Watch 1, 42mm Space Grey Aluminium Case with Black Sport Band (Demo - Try ;DCOM;1;SFHLS57LZHJLG;145;;
15670;Achats;Bon de réception;En stock;BR-170206;25/07/2017;APP-3C565F/A;Apple Watch 1, 42mm Space Grey Aluminium Case with Black Sport Band (Demo - Try ;DCOM;1;SFHLTV2EJHJLG;145;;
16287;Achats;Bon de réception;En stock;BR-170234;21/09/2017;APP-3D035F/A;iPhone 8 64GB Space Grey (Demo);DCOM;1;SC7CV83W2JC67;509,14;;
16288;Achats;Bon de réception;En stock;BR-170234;21/09/2017;APP-3D067F/A;iPhone 8 Plus 64GB Gold (Demo);DCOM;1;SC39V79A2JCM4;578,14;;
14372;Achats;Bon de réception;En stock;BR-170157;13/06/2017;APP-3D113NF/A;12.9-inch iPad Pro Wi-Fi 64GB - Space Grey (Demo);DCOM;1;SDLXTL1P4J262;596;;
15521;Achats;Bon de réception;En stock;BR-170199;18/07/2017;APP-3D116NF/A;10.5-inch iPad Pro Wi-Fi 64GB - Space Grey (Demo);DCOM;1;SDMPV12UUJ28K;483;;
14373;Achats;Bon de réception;En stock;BR-170157;13/06/2017;APP-3D119NF/A;10.5-inch iPad Pro Wi-Fi 64GB - Rose Gold (Demo);DCOM;1;SDMPTNHU7J28N;483;;
16245;Achats;Bon de réception;En stock;BR-170230;20/09/2017;APP-3D212F/A;Apple Watch Nike+ GPS, 38mm Silver Aluminium Case Only (Demo - Try On);DCOM;1;SFHLV562MJ8MR;207;;
16251;Achats;Bon de réception;En stock;BR-170231;20/09/2017;APP-3D215F/A;Apple Watch Series 3 GPS, 42mm Space Grey Aluminium Case Only (Demo - Try On);DCOM;1;SFHLV6N3HJ5X4;227;;
16252;Achats;Bon de réception;En stock;BR-170231;20/09/2017;APP-3D221F/A;Apple Watch Series 3 GPS + Cellular, 38mm Gold Aluminium Case Only (Demo - Try O;DCOM;1;SFH7V704QJ6GV;260;;
16250;Achats;Bon de réception;En stock;BR-170231;20/09/2017;APP-3D227F/A;Apple Watch Series 3 GPS + Cellular, 42mm Silver Aluminium Case Only (Demo - Try;DCOM;1;SFH7V712AJ6HW;280;;
16253;Achats;Bon de réception;En stock;BR-170231;20/09/2017;APP-3D228F/A;Apple Watch Series 3 GPS + Cellular, 42mm Space Grey Aluminium Case Only (Demo -;DCOM;1;SFHLV859JJ6HX;280;;
24775;Achats;Bon de réception;En stock;BR-180284;21/09/2018;APP-3D228F/A;Apple Watch Series 3 GPS + Cellular, 42mm Space Grey Aluminium Case Only (Demo -;DCOM;1;SG99X9HNHJ6HX;247;;
25656;Achats;Bon de réception;En stock;BR-180311;30/10/2018;APP-3D228F/A;Apple Watch Series 3 GPS + Cellular, 42mm Space Grey Aluminium Case Only (Demo -;DCOM;1;SG99XG4LNJ6HX;247,01;;
16246;Achats;Bon de réception;En stock;BR-170230;20/09/2017;APP-3D235F/A;Apple Watch Nike+ GPS + Cellular, 38mm Silver Aluminium Case Only (Demo - Try On;DCOM;1;SFH7V703NJ6HC;260;;
24776;Achats;Bon de réception;En stock;BR-180284;21/09/2018;APP-3D236F/A;Apple Watch Nike+ GPS + Cellular, 38mm Space Grey Aluminium Case Only (Demo - Tr;DCOM;1;SG99X606QJ6HD;227;;
25655;Achats;Bon de réception;En stock;BR-180311;30/10/2018;APP-3D236F/A;Apple Watch Nike+ GPS + Cellular, 38mm Space Grey Aluminium Case Only (Demo - Tr;DCOM;1;SG99X302LJ6HD;227,01;;
21508;Achats;Bon de réception;En stock;BR-180058;29/03/2018;APP-3D575NF/A;iPad Wi-Fi 32GB - Space Grey (Demo);DCOM;1;SF9FWCK1UJF8J;231;;
30977;Achats;Bon de réception;En stock;BR-190252;18/07/2019;APP-3D824F/A;iPhone XR 64GB White (Demo);DCOM;1;SDX3YP3AKKXK2;538,04;;
25817;Achats;Bon de réception;En stock;BR-180316;06/11/2018;APP-3D941NF/A;12.9-inch iPad Pro Wi-Fi 64GB - Space Grey (Demo);DCOM;1;SDLXXK9BSK7M9;730;;
24781;Achats;Bon de réception;En stock;BR-180284;21/09/2018;APP-3E097F/A;Apple Watch 4 GPS + Cellular, 40mm Silver Aluminium Case Only (Demo);DCOM;1;SFH7X704FKDTH;313;;
25441;Achats;Bon de réception;En stock;BR-180300;18/10/2018;APP-3E097F/A;Apple Watch 4 GPS + Cellular, 40mm Silver Aluminium Case Only (Demo);DCOM;1;SFH7X70PAKDTH;313,01;;
24782;Achats;Bon de réception;En stock;BR-180284;21/09/2018;APP-3E099F/A;Apple Watch 4 GPS + Cellular, 40mm Gold Aluminium Case Only (Demo);DCOM;1;SFHLX80VTKDTK;313;;
25236;Achats;Bon de réception;En stock;BR-180296;10/10/2018;APP-3E099F/A;Apple Watch 4 GPS + Cellular, 40mm Gold Aluminium Case Only (Demo);DCOM;1;SFHLXG1DPKDTK;313,01;;
24783;Achats;Bon de réception;En stock;BR-180284;21/09/2018;APP-3E103F/A;Apple Watch 4 GPS + Cellular, 44mm Silver Aluminium Case Only (Demo);DCOM;1;SFH7X7048KDTP;333;;
25238;Achats;Bon de réception;En stock;BR-180296;10/10/2018;APP-3E103F/A;Apple Watch 4 GPS + Cellular, 44mm Silver Aluminium Case Only (Demo);DCOM;1;SFHLXG2EDKDTP;333,01;;
24784;Achats;Bon de réception;En stock;BR-180284;21/09/2018;APP-3E104F/A;Apple Watch 4 GPS + Cellular, 44mm Space Grey Aluminium Case Only (Demo);DCOM;1;SFH7X82F2KDTQ;333;;
25442;Achats;Bon de réception;En stock;BR-180300;18/10/2018;APP-3E104F/A;Apple Watch 4 GPS + Cellular, 44mm Space Grey Aluminium Case Only (Demo);DCOM;1;SFH7X82H7KDTQ;333,01;;
25818;Achats;Bon de réception;En stock;BR-180316;06/11/2018;APP-3E148NF/A;11-inch iPad Pro Wi-Fi 64GB - Space Grey (Demo);DCOM;1;SDMPXL03TKD6J;583;;
25819;Achats;Bon de réception;En stock;BR-180316;06/11/2018;APP-3E149NF/A;11-inch iPad Pro Wi-Fi 64GB - Silver (Demo);DCOM;1;SDMPXK8LQKD6K;583;;
29058;Achats;Bon de réception;En stock;BR-190080;30/03/2019;APP-3F559NF/A;iPad mini Wi-Fi 64GB - Gold (Demo);DCOM;1;SDMPYDP5RLM95;296;;
29061;Achats;Bon de réception;En stock;BR-190081;30/03/2019;APP-3F561NF/A;10.5-inch iPad Air Wi-Fi 64GB - Silver (Demo);DCOM;1;SF9FYDAU1LMPF;370;;
30746;Achats;Bon de réception;En stock;BR-190242;28/06/2019;APP-3F758F/A;iPod touch 32GB - Blue (Demo);DCOM;1;SCCQYN6C4M939;168,22;;
30745;Achats;Bon de réception;En stock;BR-190242;28/06/2019;APP-3F761F/A;iPod touch 32GB - PRODUCT(RED) (Demo);DCOM;1;SCCQYM16GM93F;168,22;;
31940;Achats;Bon de réception;En stock;BR-190291;15/10/2019;APP-3F835NF/A;10.2-inch iPad Wi-Fi 32GB - Space Grey (Demo);DCOM;1;SF9FZFXD1MF3M;251;;
31491;Achats;Bon de réception;En stock;BR-190275;18/09/2019;APP-3F858F/A;iPhone 11 Pro 64GB Space Grey (Demo);DCOM;1;SDNPZ86LCN6Y2;727,04;;
31490;Achats;Bon de réception;En stock;BR-190275;18/09/2019;APP-3F859F/A;iPhone 11 Pro 64GB Silver (Demo);DCOM;1;SDNPZ91DXN6Y3;727,04;;
31489;Achats;Bon de réception;En stock;BR-190275;18/09/2019;APP-3F910F/A;iPhone 11 Pro Max 64GB Space Grey (Demo);DCOM;1;SF2LZ91HSN70R;790,04;;
31487;Achats;Bon de réception;En stock;BR-190275;18/09/2019;APP-3F913F/A;iPhone 11 Pro Max 64GB Midnight Green (Demo);DCOM;1;SF2LZ8AS2N70W;790,04;;
31485;Achats;Bon de réception;En stock;BR-190275;18/09/2019;APP-3F952F/A;iPhone 11 64GB Black (Demo);DCOM;1;SF4GZ94SSN735;509,04;;
31488;Achats;Bon de réception;En stock;BR-190275;18/09/2019;APP-3F953F/A;iPhone 11 64GB White (Demo);DCOM;1;SC7CZ86T0N736;509,04;;
31486;Achats;Bon de réception;En stock;BR-190275;18/09/2019;APP-3F954F/A;iPhone 11 64GB (PRODUCT)RED (Demo);DCOM;1;SC6KZ948XN737;509,04;;
31479;Achats;Bon de réception;En stock;BR-190274;18/09/2019;APP-3G085F/A;Apple Watch Series 5 GPS + Cellular, 44mm Silver Aluminium Case Only (Demo);DCOM;1;SFH7Z30VGMLDX;353;;
31480;Achats;Bon de réception;En stock;BR-190274;18/09/2019;APP-3G112F/A;Apple Watch Series 5 GPS + Cellular, 40mm Gold Aluminium Case Only (Demo);DCOM;1;SFH7Z45GEMLD3;333;;
35874;Achats;Bon de réception;En stock;BR-200013;28/05/2020;APP-3G356F/A;iPhone SE 64GB Black (Demo);DCOM;1;SFFWCH69QPLJQ;407,54;;
35875;Achats;Bon de réception;En stock;BR-200013;28/05/2020;APP-3G358F/A;iPhone SE 64GB (PRODUCT)RED (Demo);DCOM;1;SFFMCFM13PLJT;407,54;;
35757;Achats;Bon de réception;En stock;BR-200005;22/05/2020;APP-3G931NF/A;11-inch iPad Pro Wi-Fi 128GB - Space Grey (Demo);DCOM;1;SDMPCD2N9PTRF;588;;
35758;Achats;Bon de réception;En stock;BR-200005;22/05/2020;APP-3G933NF/A;12.9-inch iPad Pro Wi-Fi 128GB - Space Grey (Demo);DCOM;1;SDMPCC7WJPV03;735;;
38136;Achats;Bon de réception;En stock;BR-200126;17/09/2020;APP-3H134F/A;Apple Watch SE GPS, 40mm Gold Aluminium Case Only (Demo);COM;1;SG99D92H1Q07T;166,66;;
39103;Achats;Bon de réception;En stock;BR-200168;27/10/2020;APP-3H183NF/A;10.9-inch iPad Air Wi-Fi 64GB - Silver (Demo);DCOM;1;SDMPDG1LMQ16N;436,4;;
38928;Achats;Bon de réception;En stock;BR-200160;21/10/2020;APP-3H185NF/A;10.9-inch iPad Air Wi-Fi 64GB - Sky Blue (Demo);DCOM;1;SDMPDH21ZQ16Q;436,4;;
38135;Achats;Bon de réception;En stock;BR-200126;17/09/2020;APP-3H250F/A;Apple Watch Nike SE GPS + Cellular, 40mm Space Gray Aluminium Case Only (Demo);COM;1;SG99D61GQQ1NJ;200;;
38134;Achats;Bon de réception;En stock;BR-200126;17/09/2020;APP-3H260F/A;Apple Watch Series 6 GPS, 44mm Silver Aluminium Case Only (Demo);COM;1;SH4HD932QQ1RN;273,34;;
38133;Achats;Bon de réception;En stock;BR-200126;17/09/2020;APP-3H321F/A;Apple Watch Series 6 GPS + Cellular, 44mm Blue Aluminium Case Only (Demo);COM;1;SH4HD91WMQ1XR;340;;
39592;Achats;Bon de réception;En stock;BR-200195;14/11/2020;APP-3H441F/A;iPhone 12 Pro Max 128GB Graphite (Demo);COM;1;SF2LDL75W0D4Y;768,68;;
39593;Achats;Bon de réception;En stock;BR-200195;14/11/2020;APP-3H444F/A;iPhone 12 Pro Max 128GB Pacific Blue (Demo);COM;1;SF2LDL2ZK0D52;768,68;;
39590;Achats;Bon de réception;En stock;BR-200195;14/11/2020;APP-3H480F/A;iPhone 12 mini 64GB Black (Demo);COM;1;SF4GDJGS00GPP;494,76;;
39591;Achats;Bon de réception;En stock;BR-200195;14/11/2020;APP-3H481F/A;iPhone 12 mini 64GB White (Demo);COM;1;SC7CDH1WA0GPQ;494,76;;
39030;Achats;Bon de réception;En stock;BR-200164;23/10/2020;APP-3H522F/A;iPhone 12 64GB (PRODUCT)RED (Demo);COM;1;SFFMDH5FL0F0R;555,51;;
39031;Achats;Bon de réception;En stock;BR-200164;23/10/2020;APP-3H523F/A;iPhone 12 64GB Blue (Demo);COM;1;SFFMDD63A0F0V;555,51;;
39032;Achats;Bon de réception;En stock;BR-200164;23/10/2020;APP-3H555F/A;iPhone 12 Pro 128GB Gold (Demo);COM;1;SF17DJ7760D90;707,91;;
38131;Achats;Bon de réception;En stock;BR-200125;17/09/2020;APP-3YL92NF/A;10.2-inch iPad Wi-Fi 32GB - Space Grey (Demo);DCOM;1;SDMQDC0ABQ1GC;251,34;;
556;Stocks;Entrée en stock;En stock;IN-150172;31/12/2015;APP-MC344Z/A;Time Capsule 2To;DCOM;1;S6F038024AQP;304,65;;
554;Stocks;Entrée en stock;En stock;IN-150172;31/12/2015;APP-MC414Z/A;Borne d’accès Airport Express;DCOM;1;SC86LNAY1DV2R;72,3;;
1533;Stocks;Entrée en stock;En stock;IN-160002;31/12/2015;APP-MC414Z/A;Borne d’accès Airport Express;COM;1;APP-MC414Z/A***001;72,3;;
714;Stocks;Entrée en stock;En stock;IN-150173;31/12/2015;APP-MC721F/A;MacBook Pro 15 ;COM;1;MC721MANQUANT;1169,89;;
13507;Stocks;Transfert;En stock;VDCOM-170003;06/05/2017;APP-MC914ZM/A;Apple Thunderbolt Display 27;IMMOCOM;1;SC02GT48EDJGR;762,78;;
553;Stocks;Entrée en stock;En stock;IN-150172;31/12/2015;APP-MD031Z/A;Borne AirPort Extreme;DCOM;1;SC86GC25FDM72;99,04;;
13065;Stocks;Entrée en stock;En stock;IN-170004;24/04/2017;APP-MD387F/A;Mac Mini bicoeur Core i5 2,5Ghz/4G/500G/HD Graphics 4000 Démo;DCOM;1;SC07LR55FDWYL;448,22;;
716;Stocks;Entrée en stock;En stock;IN-150173;31/12/2015;APP-MD481ZD/A;iPod nano Slate;COM;1;MD481MANQUANT;128,53;;
543;Stocks;Entrée en stock;En stock;IN-150172;31/12/2015;APP-ME253F/A;Mac Pro Quad-core Xeon E5 3,7Ghz /12Gb/256Gb/Dual FirePro D300 2Gb;DCOM;1;SF5KLX032F9VM;2094,33;;
538;Stocks;Entrée en stock;En stock;IN-150172;31/12/2015;APP-ME276NF/A;iPad Mini Ecran Retina Wifi 16Go Gris sidéral;DCOM;1;SF4KM843MFCM5;230,87;;
491;Stocks;Entrée en stock;En stock;IN-150171;31/12/2015;APP-ME279NF/A;iPad mini écran Retina Wifi 16Go Argent;DEPCOM;1;SDQTM3VWPFCM8;230,87;;
7786;Achats;Bon de réception;En stock;BR-160264;18/11/2016;APP-ME780NF/A;iPad mini 2 Wi-Fi 16 Go - Noir DEMO;COM;1;SDLXLKCYLFCM5;268,4;;
